time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_ref,y_ref,z_ref,psi_ref,x_error,y_error,z_error,psi_error,solve_time,metadata
0.01,0.002999999999999999,0.0,0.0,0.0,0.023313546480999727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999993,0.0,0.0,0.0,2.3313546480999725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06600930977738431,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.002999999999999999,0.0,0.0,0.0,38343370,6000.0
0.02,0.005998968303477608,0.0,8.578099842105678e-07,0.0,0.0465953773420779,0.0,2.9999999999999994e-05,0.0,0.0,0.0,0.00023313546480999728,0.0,0.29989683034776093,0.0,8.578099842105678e-05,0.0,2.328183086107817,0.0,0.002999999999999999,0.0,0.0,0.0,0.023313546480999727,0.0,0.06600930977738431,-0.0,-0.0,-0.0,0.003,0.0,0.0,0.0,-0.002998968303477608,0.0,-8.578099842105678e-07,0.0,38343370,0.01
0.03,0.00902866802115633,0.0,2.96271275935868e-06,0.0,0.07006138946317855,0.0,8.998968340435139e-05,0.0,-5.407622902437976e-09,0.0,0.0006990892382307763,0.0,0.3029699717678722,0.0,0.0002104902775148112,0.0,2.3466012121100657,0.0,0.005998968340435139,0.0,-5.407622902437976e-07,0.0,0.0465953773420779,0.0,0.06668886900222531,-0.0,-2.369397001144417e-05,-0.0,0.006,0.0,0.0,0.0,-0.00302866802115633,0.0,-2.96271275935868e-06,0.0,31720745,gamma_th = 10
0.04,0.01205907817666281,0.0,9.389816002101512e-06,0.0,0.09344720090697156,0.0,0.00018027636226520662,0.0,-3.889894389884029e-08,0.0,0.0013997031328625619,0.0,0.303041015550648,0.0,0.0006427103242742832,0.0,2.338581144379301,0.0,0.009028667886085523,0.0,-3.349132099640231e-06,0.0,0.07006138946317855,0.0,0.06668886900222531,-0.0,-2.369397001144417e-05,-0.0,0.009,0.0,0.0,0.0,-0.003059078176662811,0.0,-9.389816002101512e-06,0.0,31720745,gamma_ph = 10
0.05,0.015086978715226577,0.0,2.241555101109002e-05,0.0,0.11669678661991499,0.0,0.0003008671573325076,0.0,-1.137921157769778e-07,0.0,0.0023341751419322775,0.0,0.3027900538563767,0.0,0.001302573500898851,0.0,2.324958571294343,0.0,0.0120590795067301,0.0,-7.4893171878137515e-06,0.0,0.09344720090697156,0.0,0.06659875640620289,-0.0,-1.3662449700646803e-05,-0.0,0.012,0.0,0.0,0.0,-0.0030869787152265765,0.0,-2.241555101109002e-05,0.0,31421178,gamma_psi = 10
0.06,0.018117330941894976,0.0,4.316527900433558e-05,0.0,0.1398179382713065,0.0,0.00045173705670522235,0.0,-2.4179340336676554e-07,0.0,0.003501143008131428,0.0,0.3030352226668398,0.0,0.0020749727993245558,0.0,2.3121151651391516,0.0,0.015086989937271473,0.0,-1.280012875897877e-05,0.0,0.11669678661991499,0.0,0.06659875640620289,-0.0,-1.3662449700646803e-05,-0.0,0.015,0.0,0.0,0.0,-0.0031173309418949767,0.0,-4.316527900433558e-05,0.0,31421178,k1 = [[ 1  1 10  1]]
0.07,0.021141870195471483,0.0,7.620138633527817e-05,0.0,0.16271591751207662,0.0,0.0006329107669889391,0.0,-4.444556285510809e-07,0.0,0.004899322390844493,0.0,0.3024539253576507,0.0,0.0033036107330942587,0.0,2.289797924077011,0.0,0.01811737102837168,0.0,-2.0266222518431536e-05,0.0,0.1398179382713065,0.0,0.06639818560076029,-0.0,3.82244171827758e-05,-0.0,0.018,0.0,0.0,0.0,-0.0031418701954714842,0.0,-7.620138633527817e-05,0.0,32117472,k2 = [[ 1  1 10  1]]
0.08,0.024170545992639132,0.0,0.00012023107864161446,0.0,0.18543793174629608,0.0,0.0008443306649057816,0.0,-7.182551471479385e-07,0.0,0.00652648156596526,0.0,0.3028675797167648,0.0,0.004402969230633628,0.0,2.2722014234219463,0.0,0.02114198979168425,0.0,-2.7379951859685754e-05,0.0,0.16271591751207662,0.0,0.06639818560076029,-0.0,3.82244171827758e-05,-0.0,0.021,0.0,0.0,0.0,-0.003170545992639131,0.0,-0.00012023107864161446,0.0,32117472,theta_limit = 0.17453292519943295
0.09,0.027190404493780518,0.0,0.00018208089237179627,0.0,0.20785352718918487,0.0,0.0010860388239365274,0.0,-1.0934449966308457e-06,0.0,0.00838086088342822,0.0,0.3019858501141384,0.0,0.0061849813730181806,0.0,2.241559544288879,0.0,0.02417081590307459,0.0,-3.751898494829071e-05,0.0,0.18543793174629608,0.0,0.06609524426878513,-0.0,0.00013192218645604714,-0.0,0.024,0.0,0.0,0.0,-0.0031904044937805173,0.0,-0.00018208089237179627,0.0,31138916,phi_limit = 0.17453292519943295
0.1,0.03021600191171557,0.0,0.0002580139289790278,0.0,0.23004660788524858,0.0,0.0013579485795869926,0.0,-1.5514633160509488e-06,0.0,0.010459396155320069,0.0,0.3025597417935052,0.0,0.007593303660723151,0.0,2.219308069606371,0.0,0.02719097556504653,0.0,-4.580183194201031e-05,0.0,0.20785352718918487,0.0,0.06609524426878513,-0.0,0.00013192218645604714,-0.0,0.027,0.0,0.0,0.0,-0.0032160019117155707,0.0,-0.0002580139289790278,0.0,31138916,psi_limit = 0.17453292519943295
0.11,0.033229761960753175,0.0,0.00035708341258660996,0.0,0.2518517453468849,0.0,0.0016601190570646233,0.0,-2.131818875532516e-06,0.0,0.012759862234172555,0.0,0.3013760049037606,0.0,0.009906948360758219,0.0,2.1805137461636335,0.0,0.03021704774776305,0.0,-5.8035555948156715e-05,0.0,0.23004660788524858,0.0,0.06569164153779257,-0.0,0.0002670850809380757,-0.0,0.03,0.0,0.0,0.0,-0.003229761960753176,0.0,-0.00035708341258660996,0.0,60364111,psi cbf = True
0.12,0.036250757580782056,0.0,0.00047310013662217235,0.0,0.2733890725118349,0.0,0.001992435187787991,0.0,-2.8012322274028837e-06,0.0,0.015278379687641404,0.0,0.302099562002888,0.0,0.01160167240355624,0.0,2.153732716495001,0.0,0.03323161307233681,0.0,-6.694133518703676e-05,0.0,0.2518517453468849,0.0,0.06569164153779257,-0.0,0.0002670850809380757,-0.0,0.033,0.0,0.0,0.0,-0.0032507575807820543,0.0,-0.00047310013662217235,0.0,60364111,dT = 0.01
0.13,0.039256867993884545,0.0,0.0006173236491685782,0.0,0.29445900056698976,0.0,0.002354972733772152,0.0,-3.609095936564018e-06,0.0,0.018012270412759754,0.0,0.3006110413102487,0.0,0.014422351254640585,0.0,2.106992805515485,0.0,0.036253754598416066,0.0,-8.078637091611342e-05,0.0,0.2733890725118349,0.0,0.06518930179402724,-0.0,0.0004436562132339954,-0.0,0.036,0.0,0.0,0.0,-0.0032568679938845477,0.0,-0.0006173236491685782,0.0,33032631,0
0.14,0.0422715848592374,0.0,0.0007810898185165234,0.0,0.3152173448397652,0.0,0.0027475889205638647,0.0,-4.507531713247866e-06,0.0,0.020956860418429653,0.0,0.30147168653528494,0.0,0.01637661693479452,0.0,2.0758344272775466,0.0,0.03926161867917128,0.0,-8.984357766838485e-05,0.0,0.29445900056698976,0.0,0.06518930179402724,-0.0,0.0004436562132339954,-0.0,0.039,0.0,0.0,0.0,-0.0032715848592373975,0.0,-0.0007810898185165234,0.0,33032631,0
0.15,0.04526833633746858,0.0,0.0009778593937796879,0.0,0.33543127466633726,0.0,0.0031703756261883763,0.0,-5.556497300160525e-06,0.0,0.024109033866827306,0.0,0.2996751478231182,0.0,0.01967695752631645,0.0,2.0213929826572037,0.0,0.042278670562451146,0.0,-0.00010489655869126582,0.0,0.3152173448397652,0.0,0.06459045246182561,-0.0,0.0006618306096666131,-0.0,0.042,0.0,0.0,0.0,-0.0032683363374685775,0.0,-0.0009778593937796879,0.0,43469055,0
0.16,0.0482749230300577,0.0,0.0011964586951177959,0.0,0.3552916308718707,0.0,0.0036231631654629584,0.0,-6.693446413720524e-06,0.0,0.027463346613490678,0.0,0.3006586692589117,0.0,0.0218599301338108,0.0,1.986035620553344,0.0,0.04527875392745822,0.0,-0.0001136949113559999,0.0,0.33543127466633726,0.0,0.06459045246182561,-0.0,0.0006618306096666131,-0.0,0.045,0.0,0.0,0.0,-0.0032749230300576984,0.0,-0.0011964586951177959,0.0,43469055,0
